State,CD #,County,"County Pop. in CD","% of CD in County"
GA,12,Effingham,"21,373",3.10%
GA,12,Emanuel,"22,598",3.30%
GA,12,Evans,"11,000",1.60%
GA,12,Jeff Davis,"15,068",2.20%
GA,12,Jenkins,"8,340",1.20%
GA,12,Laurens,"48,434",7.00%
GA,12,Montgomery,"9,123",1.30%
GA,12,Richmond,"200,549",29.00%
GA,12,Screven,"14,593",2.10%
GA,12,Tattnall,"25,520",3.70%
GA,12,Toombs,"27,223",3.90%
GA,12,Treutlen,"6,885",1.00%
GA,12,Wheeler,"7,421",1.10%
GA,13,Clayton,"156,160",22.60%
GA,13,Cobb,"171,620",24.80%
GA,13,Douglas,"132,403",19.10%
GA,13,Fayette,"17,662",2.60%
GA,13,Fulton,"116,498",16.80%
GA,13,Henry,"97,633",14.10%
GA,14,Catoosa,"63,942",9.20%
GA,14,Chattooga,"26,015",3.80%
GA,14,Dade,"16,633",2.40%
GA,14,Floyd,"96,317",13.90%
GA,14,Gordon,"55,186",8.00%
GA,14,Haralson,"28,780",4.20%
GA,14,Murray,"39,628",5.70%
GA,14,Paulding,"142,324",20.60%
GA,14,Pickens,"10,319",1.50%
GA,14,Polk,"41,475",6.00%
GA,14,Walker,"68,756",9.90%
GA,14,Whitfield,"102,599",14.80%
HI,1,Honolulu,"680,496",100.00%
HI,2,Hawaii,"185,079",27.20%
HI,2,Honolulu,"272,711",40.10%
HI,2,Kalawao,90,0.00%
HI,2,Kauai,"67,091",9.90%
HI,2,Maui,"154,834",22.80%
IA,1,Allamakee,"14,330",1.90%
IA,1,Benton,"26,076",3.40%
IA,1,Black Hawk,"131,090",17.20%
IA,1,Bremer,"24,276",3.20%
IA,1,Buchanan,"20,958",2.80%
IA,1,Clayton,"18,129",2.40%
IA,1,Delaware,"17,764",2.30%
IA,1,Dubuque,"93,653",12.30%
IA,1,Fayette,"20,880",2.70%
IA,1,Howard,"9,566",1.30%
IA,1,Iowa,"16,355",2.10%
IA,1,Jackson,"19,848",2.60%
IA,1,Jones,"20,638",2.70%
IA,1,Linn,"211,226",27.70%
IA,1,Marshall,"40,648",5.30%
IA,1,Mitchell,"10,776",1.40%
IA,1,Poweshiek,"18,914",2.50%
IA,1,Tama,"17,767",2.30%
IA,1,Winneshiek,"21,056",2.80%
IA,1,Worth,"7,598",1.00%
IA,2,Appanoose,"12,887",1.70%
IA,2,Cedar,"18,499",2.40%
IA,2,Clarke,"9,286",1.20%
IA,2,Clinton,"49,116",6.40%
IA,2,Davis,"8,753",1.10%
IA,2,Decatur,"8,457",1.10%
IA,2,Des Moines,"40,325",5.30%
IA,2,Henry,"20,145",2.60%
IA,2,Jasper,"36,842",4.80%
IA,2,Jefferson,"16,843",2.20%
IA,2,Johnson,"130,882",17.20%
IA,2,Keokuk,"10,511",1.40%
IA,2,Lee,"35,862",4.70%
IA,2,Louisa,"11,387",1.50%
IA,2,Lucas,"8,898",1.20%
IA,2,Mahaska,"22,381",2.90%
IA,2,Marion,"33,309",4.40%
IA,2,Monroe,"7,970",1.00%
IA,2,Muscatine,"42,745",5.60%
IA,2,Scott,"165,224",21.70%
IA,2,Van Buren,"7,570",1.00%
IA,2,Wapello,"35,625",4.70%
IA,2,Washington,"21,704",2.80%
IA,2,Wayne,"6,403",0.80%
IA,3,Adair,"7,682",1.00%
IA,3,Adams,"4,029",0.50%
IA,3,Cass,"13,956",1.80%
IA,3,Dallas,"66,135",8.70%
IA,3,Fremont,"7,441",1.00%
IA,3,Guthrie,"10,954",1.40%
IA,3,Madison,"15,679",2.10%
IA,3,Mills,"15,059",2.00%
IA,3,Montgomery,"10,740",1.40%
IA,3,Page,"15,932",2.10%
IA,3,Polk,"430,640",56.50%
IA,3,Pottawattamie,"93,158",12.20%
IA,3,Ringgold,"5,131",0.70%
IA,3,Taylor,"6,317",0.80%
IA,3,Union,"12,534",1.60%
IA,3,Warren,"46,225",6.10%
IA,4,Audubon,"6,119",0.80%
IA,4,Boone,"26,306",3.50%
IA,4,Buena Vista,"20,260",2.70%
IA,4,Butler,"14,867",2.00%
IA,4,Calhoun,"9,670",1.30%
IA,4,Carroll,"20,816",2.70%
IA,4,Cerro Gordo,"44,151",5.80%
IA,4,Cherokee,"12,072",1.60%
IA,4,Chickasaw,"12,439",1.60%
IA,4,Clay,"16,667",2.20%
IA,4,Crawford,"17,096",2.20%
IA,4,Dickinson,"16,667",2.20%
IA,4,Emmet,"10,302",1.40%
IA,4,Floyd,"16,303",2.10%
IA,4,Franklin,"10,680",1.40%
IA,4,Greene,"9,336",1.20%
IA,4,Grundy,"12,453",1.60%
IA,4,Hamilton,"15,673",2.10%
IA,4,Hancock,"11,341",1.50%
IA,4,Hardin,"17,534",2.30%
IA,4,Harrison,"14,928",2.00%
IA,4,Humboldt,"9,815",1.30%
IA,4,Ida,"7,089",0.90%
IA,4,Kossuth,"15,543",2.00%
IA,4,Lyon,"11,581",1.50%
IA,4,Monona,"9,243",1.20%
IA,4,OBrien,"14,398",1.90%
IA,4,Osceola,"6,462",0.80%
IA,4,Palo Alto,"9,421",1.20%
IA,4,Plymouth,"24,986",3.30%
IA,4,Pocahontas,"7,310",1.00%
IA,4,Sac,"10,350",1.40%
IA,4,Shelby,"12,167",1.60%
IA,4,Sioux,"33,704",4.40%
IA,4,Story,"89,542",11.80%
IA,4,Webster,"38,013",5.00%
IA,4,Winnebago,"10,866",1.40%
IA,4,Woodbury,"102,172",13.40%
IA,4,Wright,"13,229",1.70%
ID,1,Ada,"195,528",24.90%
ID,1,Adams,"3,976",0.50%
ID,1,Benewah,"9,285",1.20%
ID,1,Boise,"7,028",0.90%
ID,1,Bonner,"40,877",5.20%
ID,1,Boundary,"10,972",1.40%
ID,1,Canyon,"188,923",24.10%
ID,1,Clearwater,"8,761",1.10%
ID,1,Gem,"16,719",2.10%
ID,1,Idaho,"16,267",2.10%
ID,1,Kootenai,"138,494",17.70%
ID,1,Latah,"37,244",4.70%
ID,1,Lewis,"3,821",0.50%
ID,1,Nez Perce,"39,265",5.00%
ID,1,Owyhee,"11,526",1.50%
ID,1,Payette,"22,623",2.90%
ID,1,Shoshone,"12,765",1.60%
ID,1,Valley,"9,862",1.30%
ID,1,Washington,"10,198",1.30%
ID,2,Ada,"196,837",25.10%
ID,2,Bannock,"82,839",10.60%
ID,2,Bear Lake,"5,986",0.80%
ID,2,Bingham,"45,607",5.80%
ID,2,Blaine,"21,376",2.70%
ID,2,Bonneville,"104,234",13.30%
ID,2,Butte,"2,891",0.40%
ID,2,Camas,"1,117",0.10%
ID,2,Caribou,"6,963",0.90%
ID,2,Cassia,"22,952",2.90%
ID,2,Clark,982,0.10%
ID,2,Custer,"4,368",0.60%
ID,2,Elmore,"27,038",3.50%
ID,2,Franklin,"12,786",1.60%
ID,2,Fremont,"13,242",1.70%
ID,2,Gooding,"15,464",2.00%
ID,2,Jefferson,"26,140",3.30%
ID,2,Jerome,"22,374",2.90%
ID,2,Lemhi,"7,936",1.00%
ID,2,Lincoln,"5,208",0.70%
ID,2,Madison,"37,536",4.80%
ID,2,Minidoka,"20,069",2.60%
ID,2,Oneida,"4,286",0.50%
ID,2,Power,"7,817",1.00%
ID,2,Teton,"10,170",1.30%
ID,2,Twin Falls,"77,230",9.90%
IL,1,Cook,"616,830",86.50%
IL,1,Will,"95,983",13.50%
IL,2,Cook,"546,565",76.70%
IL,2,Kankakee,"113,449",15.90%
IL,2,Will,"52,799",7.40%
IL,3,Cook,"618,194",86.70%
IL,3,DuPage,"1,300",0.20%
IL,3,Will,"93,319",13.10%
IL,4,Cook,"712,813",100.00%
IL,5,Cook,"651,162",91.40%
IL,5,DuPage,"61,651",8.60%
IL,6,Cook,"92,373",13.00%
IL,6,DuPage,"363,408",51.00%
IL,6,Kane,"109,171",15.30%
IL,6,Lake,"59,480",8.30%
IL,6,McHenry,"88,389",12.40%
IL,7,Cook,"712,812",100.00%
IL,8,Cook,"360,056",50.50%
IL,8,DuPage,"259,111",36.40%
IL,8,Kane,"93,602",13.10%
IL,9,Cook,"712,856",100.00%
IL,10,Cook,"167,002",23.40%
IL,10,Lake,"545,811",76.60%
IL,11,Cook,"4,012",0.60%
IL,11,DuPage,"210,774",29.60%
IL,11,Kane,"146,149",20.50%
IL,11,Kendall,"38,142",5.40%
IL,11,Will,"313,693",44.00%
IL,12,Alexander,"8,238",1.20%
IL,12,Franklin,"39,561",5.50%
IL,12,Jackson,"60,218",8.40%
IL,12,Jefferson,"38,827",5.40%
IL,12,Madison,"116,804",16.40%
IL,12,Monroe,"32,957",4.60%
IL,12,Perry,"22,350",3.10%
IL,12,Pulaski,"6,161",0.90%
IL,12,Randolph,"33,476",4.70%
IL,12,St. Clair,"270,056",37.90%
IL,12,Union,"17,808",2.50%
IL,12,Williamson,"66,357",9.30%
IL,13,Bond,"4,313",0.60%
IL,13,Calhoun,"5,089",0.70%
IL,13,Champaign,"150,996",21.20%
IL,13,Christian,"34,800",4.90%
IL,13,De Witt,"16,561",2.30%
IL,13,Greene,"13,886",1.90%
IL,13,Jersey,"22,985",3.20%
IL,13,McLean,"60,677",8.50%
IL,13,Macon,"110,768",15.50%
IL,13,Macoupin,"47,765",6.70%
IL,13,Madison,"98,754",13.90%
IL,13,Montgomery,"30,104",4.20%
IL,13,Piatt,"16,729",2.30%
IL,13,Sangamon,"99,386",13.90%
IL,14,DeKalb,"36,986",5.20%
IL,14,DuPage,"20,680",2.90%
IL,14,Kane,"166,347",23.30%
IL,14,Kendall,"76,594",10.70%
IL,14,Lake,"98,171",13.80%
IL,14,McHenry,"220,371",30.90%
IL,14,Will,"93,699",13.10%
IL,15,Bond,"13,455",1.90%
IL,15,Champaign,"50,085",7.00%
IL,15,Clark,"16,335",2.30%
IL,15,Clay,"13,815",1.90%
IL,15,Clinton,"37,762",5.30%
IL,15,Coles,"53,873",7.60%
IL,15,Crawford,"19,817",2.80%
IL,15,Cumberland,"11,048",1.50%
IL,15,Douglas,"19,980",2.80%
IL,15,Edgar,"18,576",2.60%
IL,15,Edwards,"6,721",0.90%
IL,15,Effingham,"34,242",4.80%
IL,15,Fayette,"22,140",3.10%
IL,15,Ford,"6,357",0.90%
IL,15,Gallatin,"5,589",0.80%
IL,15,Hamilton,"8,457",1.20%
IL,15,Hardin,"4,320",0.60%
IL,15,Jasper,"9,698",1.40%
IL,15,Johnson,"12,582",1.80%
IL,15,Lawrence,"16,833",2.40%
IL,15,Madison,"53,724",7.50%
IL,15,Marion,"39,437",5.50%
IL,15,Massac,"15,429",2.20%
IL,15,Moultrie,"14,846",2.10%
IL,15,Pope,"4,470",0.60%
IL,15,Richland,"16,233",2.30%
IL,15,Saline,"24,913",3.50%
IL,15,Shelby,"22,363",3.10%
IL,15,Vermilion,"81,625",11.50%
IL,15,Wabash,"11,947",1.70%
IL,15,Washington,"14,716",2.10%
IL,15,Wayne,"16,760",2.40%
IL,15,White,"14,665",2.10%
IL,16,Boone,"54,165",7.60%
IL,16,Bureau,"34,978",4.90%
IL,16,DeKalb,"68,174",9.60%
IL,16,Ford,"7,724",1.10%
IL,16,Grundy,"50,063",7.00%
IL,16,Iroquois,"29,718",4.20%
IL,16,La Salle,"113,924",16.00%
IL,16,Lee,"36,031",5.10%
IL,16,Livingston,"38,950",5.50%
IL,16,Ogle,"53,497",7.50%
IL,16,Putnam,"6,006",0.80%
IL,16,Stark,"1,353",0.20%
IL,16,Will,"28,067",3.90%
IL,16,Winnebago,"190,163",26.70%
IL,17,Carroll,"15,387",2.20%
IL,17,Fulton,"37,069",5.20%
IL,17,Henderson,"7,331",1.00%
IL,17,Henry,"50,486",7.10%
IL,17,Jo Daviess,"22,678",3.20%
IL,17,Knox,"52,919",7.40%
IL,17,Mercer,"16,434",2.30%
IL,17,Peoria,"84,935",11.90%
IL,17,Rock Island,"147,546",20.70%
IL,17,Stephenson,"47,711",6.70%
IL,17,Tazewell,"49,009",6.90%
IL,17,Warren,"17,707",2.50%
IL,17,Whiteside,"58,498",8.20%
IL,17,Winnebago,"105,103",14.70%
IL,18,Adams,"67,103",9.40%
IL,18,Brown,"6,937",1.00%
IL,18,Cass,"13,642",1.90%
IL,18,Hancock,"19,104",2.70%
IL,18,Logan,"30,305",4.30%
IL,18,McDonough,"32,612",4.60%
IL,18,McLean,"108,895",15.30%
IL,18,Marshall,"12,640",1.80%
IL,18,Mason,"14,666",2.10%
IL,18,Menard,"12,705",1.80%
IL,18,Morgan,"35,547",5.00%
IL,18,Peoria,"101,559",14.20%
IL,18,Pike,"16,430",2.30%
IL,18,Sangamon,"98,079",13.80%
IL,18,Schuyler,"7,544",1.10%
IL,18,Scott,"5,355",0.80%
IL,18,Stark,"4,641",0.70%
IL,18,Tazewell,"86,385",12.10%
IL,18,Woodford,"38,664",5.40%
IN,1,Lake,"496,005",68.80%
IN,1,La Porte,"60,074",8.30%
IN,1,Porter,"164,343",22.80%
IN,2,Elkhart,"197,559",27.40%
IN,2,Fulton,"20,836",2.90%
IN,2,Kosciusko,"30,097",4.20%
IN,2,La Porte,"51,393",7.10%
IN,2,Marshall,"47,051",6.50%
IN,2,Miami,"36,903",5.10%
IN,2,Pulaski,"13,402",1.90%
IN,2,St. Joseph,"266,931",37.10%
IN,2,Starke,"23,363",3.20%
IN,2,Wabash,"32,888",4.60%
IN,3,Adams,"34,387",4.80%
IN,3,Allen,"355,329",49.30%
IN,3,Blackford,"3,069",0.40%
IN,3,De Kalb,"42,223",5.90%
IN,3,Huntington,"37,124",5.20%
IN,3,Jay,"21,253",3.00%
IN,3,Kosciusko,"47,261",6.60%
IN,3,Lagrange,"37,128",5.20%
IN,3,Noble,"47,536",6.60%
IN,3,Steuben,"34,185",4.70%
IN,3,Wells,"27,636",3.80%
IN,3,Whitley,"33,292",4.60%
IN,4,Benton,"8,854",1.20%
IN,4,Boone,"31,073",4.30%
IN,4,Carroll,"20,155",2.80%
IN,4,Cass,"38,966",5.40%
IN,4,Clinton,"33,224",4.60%
IN,4,Fountain,"17,240",2.40%
IN,4,Hendricks,"145,448",20.20%
IN,4,Howard,"72,765",10.10%
IN,4,Jasper,"33,478",4.60%
IN,4,Montgomery,"38,124",5.30%
IN,4,Morgan,"22,957",3.20%
IN,4,Newton,"14,244",2.00%
IN,4,Putnam,"37,963",5.30%
IN,4,Tippecanoe,"172,780",24.00%
IN,4,Warren,"8,508",1.20%
IN,4,White,"24,643",3.40%
IN,5,Blackford,"9,697",1.30%
IN,5,Boone,"25,567",3.50%
IN,5,Grant,"70,061",9.70%
IN,5,Hamilton,"274,569",38.10%
IN,5,Howard,"9,987",1.40%
IN,5,Madison,"131,636",18.30%
IN,5,Marion,"182,970",25.40%
IN,5,Tipton,"15,936",2.20%
IN,6,Bartholomew,"76,794",10.70%
IN,6,Dearborn,"50,047",6.90%
IN,6,Decatur,"25,740",3.60%
IN,6,Delaware,"117,671",16.30%
IN,6,Fayette,"24,277",3.40%
IN,6,Franklin,"23,087",3.20%
IN,6,Hancock,"70,002",9.70%
IN,6,Henry,"49,462",6.90%
IN,6,Jefferson,"32,428",4.50%
IN,6,Jennings,"28,525",4.00%
IN,6,Ohio,"6,128",0.90%
IN,6,Randolph,"26,171",3.60%
IN,6,Ripley,"28,818",4.00%
IN,6,Rush,"17,392",2.40%
IN,6,Scott,"12,398",1.70%
IN,6,Shelby,"44,436",6.20%
IN,6,Switzerland,"10,613",1.50%
IN,6,Union,"7,516",1.00%
IN,6,Wayne,"68,917",9.60%
IN,7,Marion,"720,423",100.00%
IN,8,Clay,"26,890",3.70%
IN,8,Crawford,"1,667",0.20%
IN,8,Daviess,"31,648",4.40%
IN,8,Dubois,"41,889",5.80%
IN,8,Gibson,"33,503",4.70%
IN,8,Greene,"33,165",4.60%
IN,8,Knox,"38,440",5.30%
IN,8,Martin,"10,334",1.40%
IN,8,Owen,"21,575",3.00%
IN,8,Parke,"17,339",2.40%
IN,8,Perry,"19,338",2.70%
IN,8,Pike,"12,845",1.80%
IN,8,Posey,"25,910",3.60%
IN,8,Spencer,"20,952",2.90%
IN,8,Sullivan,"21,475",3.00%
IN,8,Vanderburgh,"179,703",24.90%
IN,8,Vermillion,"16,212",2.30%
IN,8,Vigo,"107,848",15.00%
IN,8,Warrick,"59,689",8.30%
IN,9,Brown,"15,242",2.10%
IN,9,Clark,"110,232",15.30%
IN,9,Crawford,"9,046",1.30%
IN,9,Floyd,"74,578",10.40%
IN,9,Harrison,"39,364",5.50%
IN,9,Jackson,"42,376",5.90%
IN,9,Johnson,"139,654",19.40%
IN,9,Lawrence,"46,134",6.40%
IN,9,Monroe,"137,974",19.20%
IN,9,Morgan,"45,937",6.40%
IN,9,Orange,"19,840",2.80%
IN,9,Scott,"11,783",1.60%
IN,9,Washington,"28,262",3.90%
KS,1,Barton,"27,674",3.90%
KS,1,Chase,"2,790",0.40%
KS,1,Cheyenne,"2,726",0.40%
KS,1,Clark,"2,215",0.30%
KS,1,Clay,"8,535",1.20%
KS,1,Cloud,"9,533",1.30%
KS,1,Decatur,"2,961",0.40%
KS,1,Dickinson,"19,754",2.80%
KS,1,Ellis,"28,452",4.00%
KS,1,Ellsworth,"6,497",0.90%
KS,1,Finney,"36,776",5.20%
KS,1,Ford,"33,848",4.70%
KS,1,Geary,"34,362",4.80%
KS,1,Gove,"2,695",0.40%
KS,1,Graham,"2,597",0.40%
KS,1,Grant,"7,829",1.10%
KS,1,Gray,"6,006",0.80%
KS,1,Greeley,"1,247",0.20%
KS,1,Hamilton,"2,690",0.40%
KS,1,Haskell,"4,256",0.60%
KS,1,Hodgeman,"1,916",0.30%
KS,1,Jewell,"3,077",0.40%
KS,1,Kearny,"3,977",0.60%
KS,1,Lane,"1,750",0.20%
KS,1,Lincoln,"3,241",0.50%
KS,1,Logan,"2,756",0.40%
KS,1,Lyon,"33,690",4.70%
KS,1,McPherson,"29,180",4.10%
KS,1,Marion,"12,660",1.80%
KS,1,Marshall,"4,870",0.70%
KS,1,Meade,"4,575",0.60%
KS,1,Mitchell,"6,373",0.90%
KS,1,Morris,"5,923",0.80%
KS,1,Morton,"3,233",0.50%
KS,1,Ness,"3,107",0.40%
KS,1,Norton,"5,671",0.80%
KS,1,Osborne,"3,858",0.50%
KS,1,Ottawa,"6,091",0.90%
KS,1,Pawnee,"6,631",0.90%
KS,1,Phillips,"5,642",0.80%
KS,1,Pottawatomie,"21,604",3.00%
KS,1,Rawlins,"2,519",0.40%
KS,1,Reno,"64,511",9.00%
KS,1,Republic,"4,980",0.70%
KS,1,Rice,"10,083",1.40%
KS,1,Riley,"71,115",10.00%
KS,1,Rooks,"5,181",0.70%
KS,1,Rush,"3,307",0.50%
KS,1,Russell,"6,970",1.00%
KS,1,Saline,"55,606",7.80%
KS,1,Scott,"4,936",0.70%
KS,1,Seward,"22,952",3.20%
KS,1,Sheridan,"2,556",0.40%
KS,1,Sherman,"6,010",0.80%
KS,1,Smith,"3,853",0.50%
KS,1,Stanton,"2,235",0.30%
KS,1,Stevens,"5,724",0.80%
KS,1,Thomas,"7,900",1.10%
KS,1,Trego,"3,001",0.40%
KS,1,Wabaunsee,"7,053",1.00%
KS,1,Wallace,"1,485",0.20%
KS,1,Washington,"5,799",0.80%
KS,1,Wichita,"2,234",0.30%
KS,2,Allen,"13,371",1.90%
KS,2,Anderson,"8,102",1.10%
KS,2,Atchison,"16,924",2.40%
KS,2,Bourbon,"15,173",2.10%
KS,2,Brown,"9,984",1.40%
KS,2,Cherokee,"21,603",3.00%
KS,2,Coffey,"8,601",1.20%
KS,2,Crawford,"39,134",5.50%
KS,2,Doniphan,"7,945",1.10%
KS,2,Douglas,"110,826",15.50%
KS,2,Franklin,"25,992",3.60%
KS,2,Jackson,"13,462",1.90%
KS,2,Jefferson,"19,126",2.70%
KS,2,Labette,"21,607",3.00%
KS,2,Leavenworth,"76,227",10.70%
KS,2,Linn,"9,656",1.40%
KS,2,Marshall,"5,247",0.70%
KS,2,Miami,"21,184",3.00%
KS,2,Montgomery,"35,471",5.00%
KS,2,Nemaha,"10,178",1.40%
KS,2,Neosho,"16,512",2.30%
KS,2,Osage,"16,295",2.30%
KS,2,Shawnee,"177,934",24.90%
KS,2,Wilson,"9,409",1.30%
KS,2,Woodson,"3,309",0.50%
KS,3,Johnson,"544,179",76.30%
KS,3,Miami,"11,603",1.60%
KS,3,Wyandotte,"157,505",22.10%
KS,4,Barber,"4,861",0.70%
KS,4,Butler,"65,880",9.20%
KS,4,Chautauqua,"3,669",0.50%
KS,4,Comanche,"1,891",0.30%
KS,4,Cowley,"36,311",5.10%
KS,4,Edwards,"3,037",0.40%
KS,4,Elk,"2,882",0.40%
KS,4,Greenwood,"6,689",0.90%
KS,4,Harper,"6,034",0.80%
KS,4,Harvey,"34,684",4.90%
KS,4,Kingman,"7,858",1.10%
KS,4,Kiowa,"2,553",0.40%
KS,4,Pawnee,342,0.00%
KS,4,Pratt,"9,656",1.40%
KS,4,Sedgwick,"498,365",69.90%
KS,4,Stafford,"4,437",0.60%
KS,4,Sumner,"24,132",3.40%
KY,1,Adair,"18,656",2.60%
KY,1,Allen,"19,956",2.80%
KY,1,Ballard,"8,249",1.10%
KY,1,Caldwell,"12,984",1.80%
KY,1,Calloway,"37,191",5.10%
KY,1,Carlisle,"5,104",0.70%
KY,1,Casey,"15,955",2.20%
KY,1,Christian,"73,955",10.20%
KY,1,Clinton,"10,272",1.40%
KY,1,Crittenden,"9,315",1.30%
KY,1,Cumberland,"6,856",0.90%
KY,1,Fulton,"6,813",0.90%
KY,1,Graves,"37,121",5.10%
KY,1,Henderson,"46,250",6.40%
KY,1,Hickman,"4,902",0.70%
KY,1,Hopkins,"46,920",6.50%
KY,1,Livingston,"9,519",1.30%
KY,1,Logan,"26,835",3.70%
KY,1,Lyon,"8,314",1.10%
KY,1,McCracken,"65,565",9.10%
KY,1,McLean,"9,531",1.30%
KY,1,Marion,"19,820",2.70%
KY,1,Marshall,"31,448",4.30%
KY,1,Metcalfe,"10,099",1.40%
KY,1,Monroe,"10,963",1.50%
KY,1,Muhlenberg,"31,499",4.40%
KY,1,Ohio,"23,842",3.30%
KY,1,Russell,"17,565",2.40%
KY,1,Simpson,"17,327",2.40%
KY,1,Taylor,"24,512",3.40%
KY,1,Todd,"12,460",1.70%
KY,1,Trigg,"14,339",2.00%
KY,1,Union,"15,007",2.10%
KY,1,Washington,413,0.10%
KY,1,Webster,"13,621",1.90%
KY,2,Barren,"42,173",5.80%
KY,2,Boyle,"28,432",3.90%
KY,2,Breckinridge,"20,059",2.80%
KY,2,Bullitt,"74,319",10.30%
KY,2,Butler,"12,690",1.80%
KY,2,Daviess,"96,656",13.40%
KY,2,Edmonson,"12,161",1.70%
KY,2,Garrard,"16,912",2.30%
KY,2,Grayson,"25,746",3.60%
KY,2,Green,"11,258",1.60%
KY,2,Hancock,"8,565",1.20%
KY,2,Hardin,"105,543",14.60%
KY,2,Hart,"18,199",2.50%
KY,2,Jessamine,"12,405",1.70%
KY,2,Larue,"14,193",2.00%
KY,2,Lincoln,5,0.00%
KY,2,Meade,"28,602",4.00%
KY,2,Mercer,"21,331",2.90%
KY,2,Nelson,"43,437",6.00%
KY,2,Spencer,"5,360",0.70%
KY,2,Warren,"113,792",15.70%
KY,2,Washington,"11,304",1.60%
KY,3,Jefferson,"723,171",100.00%
KY,4,Boone,"118,811",16.40%
KY,4,Boyd,"40,044",5.50%
KY,4,Bracken,"8,488",1.20%
KY,4,Campbell,"90,336",12.50%
KY,4,Carroll,"10,811",1.50%
KY,4,Gallatin,"8,589",1.20%
KY,4,Grant,"24,662",3.40%
KY,4,Greenup,"36,910",5.10%
KY,4,Harrison,"11,787",1.60%
KY,4,Henry,"15,416",2.10%
KY,4,Jefferson,"17,925",2.50%
KY,4,Kenton,"159,720",22.10%
KY,4,Lewis,"13,870",1.90%
KY,4,Mason,"17,490",2.40%
KY,4,Oldham,"60,316",8.30%
KY,4,Owen,"10,841",1.50%
KY,4,Pendleton,"14,877",2.10%
KY,4,Shelby,"42,074",5.80%
KY,4,Spencer,"11,701",1.60%
KY,4,Trimble,"8,809",1.20%
KY,5,Bell,"28,691",4.00%
KY,5,Boyd,"9,498",1.30%
KY,5,Breathitt,"13,878",1.90%
KY,5,Carter,"27,720",3.80%
KY,5,Clay,"21,730",3.00%
KY,5,Elliott,"7,852",1.10%
KY,5,Floyd,"39,451",5.50%
KY,5,Harlan,"29,278",4.00%
KY,5,Jackson,"13,494",1.90%
KY,5,Johnson,"23,356",3.20%
KY,5,Knott,"16,346",2.30%
KY,5,Knox,"31,883",4.40%
KY,5,Laurel,"58,849",8.10%
KY,5,Lawrence,"15,860",2.20%
KY,5,Lee,"7,887",1.10%
KY,5,Leslie,"11,310",1.60%
KY,5,Letcher,"24,519",3.40%
KY,5,Lincoln,"24,737",3.40%
KY,5,McCreary,"18,306",2.50%
KY,5,Magoffin,"13,333",1.80%
KY,5,Martin,"12,929",1.80%
KY,5,Morgan,"13,923",1.90%
KY,5,Owsley,"4,755",0.70%
KY,5,Perry,"28,712",4.00%
KY,5,Pike,"65,024",9.00%
KY,5,Pulaski,"63,063",8.70%
KY,5,Rockcastle,"17,056",2.40%
KY,5,Rowan,"23,333",3.20%
KY,5,Wayne,"20,813",2.90%
KY,5,Whitley,"35,637",4.90%
KY,6,Anderson,"21,421",3.00%
KY,6,Bath,"11,591",1.60%
KY,6,Bourbon,"19,985",2.80%
KY,6,Clark,"35,613",4.90%
KY,6,Estill,"14,672",2.00%
KY,6,Fayette,"295,803",40.90%
KY,6,Fleming,"14,348",2.00%
KY,6,Franklin,"49,285",6.80%
KY,6,Harrison,"7,059",1.00%
KY,6,Jessamine,"36,181",5.00%
KY,6,Madison,"82,916",11.50%
KY,6,Menifee,"6,306",0.90%
KY,6,Montgomery,"26,499",3.70%
KY,6,Nicholas,"7,135",1.00%
KY,6,Powell,"12,613",1.70%
KY,6,Robertson,"2,282",0.30%
KY,6,Scott,"47,173",6.50%
KY,6,Wolfe,"7,355",1.00%
KY,6,Woodford,"24,939",3.40%
LA,1,Jefferson,"232,558",30.80%
LA,1,Lafourche,"46,243",6.10%
LA,1,Orleans,"41,766",5.50%
LA,1,Plaquemines,"23,042",3.10%
LA,1,St. Bernard,"35,897",4.80%
LA,1,St. Tammany,"233,740",30.90%
LA,1,Tangipahoa,"72,728",9.60%
LA,1,Terrebonne,"69,471",9.20%
LA,2,Ascension,"20,312",2.70%
LA,2,Assumption,"7,637",1.00%
LA,2,East Baton Rouge,"102,184",13.50%
LA,2,Iberville,"23,326",3.10%
LA,2,Jefferson,"199,994",26.50%
LA,2,Orleans,"302,063",40.00%
LA,2,St. Charles,"33,730",4.50%
LA,2,St. James,"22,102",2.90%
LA,2,St. John the Baptist,"33,564",4.40%
LA,2,West Baton Rouge,"10,626",1.40%
LA,3,Acadia,"61,773",8.20%
LA,3,Calcasieu,"192,768",25.50%
LA,3,Cameron,"6,839",0.90%
LA,3,Iberia,"73,240",9.70%
LA,3,Jefferson Davis,"31,594",4.20%
LA,3,Lafayette,"221,578",29.30%
LA,3,St. Landry,"2,995",0.40%
LA,3,St. Martin,"52,160",6.90%
LA,3,St. Mary,"54,650",7.20%
LA,3,Vermilion,"57,999",7.70%
LA,4,Allen,"25,764",3.40%
LA,4,Beauregard,"35,654",4.70%
LA,4,Bienville,"14,353",1.90%
LA,4,Bossier,"116,979",15.50%
LA,4,Caddo,"254,969",33.70%
LA,4,Claiborne,"17,195",2.30%
LA,4,De Soto,"26,656",3.50%
LA,4,Evangeline,"33,984",4.50%
LA,4,Natchitoches,"39,566",5.20%
LA,4,Red River,"9,091",1.20%
LA,4,Sabine,"24,233",3.20%
LA,4,St. Landry,"40,899",5.40%
LA,4,Union,"22,721",3.00%
LA,4,Vernon,"52,334",6.90%
